127.0.0.1 - - [11/Mar/2019:13:51:04 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:51:05 +0900] "GET /JavaScript/5_1%EC%88%AB%EC%9E%90%EB%A7%9E%EC%B6%94%EA%B8%B0/ex1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:13:51:06 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Mar/2019:14:07:00 +0900] "GET /JavaScript/Event/double_event_1.html HTTP/1.1" 200 247
0:0:0:0:0:0:0:1 - - [11/Mar/2019:14:07:13 +0900] "GET /JavaScript/Event/double_event_1.html HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [11/Mar/2019:14:07:36 +0900] "GET /JavaScript/Event/double_event_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:14:08:08 +0900] "GET /JavaScript/Event/double_event_1.html HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [11/Mar/2019:14:08:16 +0900] "GET /JavaScript/Event/double_event_1.html HTTP/1.1" 200 268
0:0:0:0:0:0:0:1 - - [11/Mar/2019:14:08:17 +0900] "GET /JavaScript/Event/double_event_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:14:08:17 +0900] "GET /JavaScript/Event/double_event_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:14:08:18 +0900] "GET /JavaScript/Event/double_event_1.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2019:14:08:24 +0900] "GET /JavaScript/Event/double_event_1.html HTTP/1.1" 200 269
0:0:0:0:0:0:0:1 - - [11/Mar/2019:14:08:53 +0900] "GET /JavaScript/Event/double_event_1.html HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [11/Mar/2019:14:10:01 +0900] "GET /JavaScript/Event/double_event_1.html HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [11/Mar/2019:14:11:18 +0900] "GET /JavaScript/Event/double_event_1.html HTTP/1.1" 200 628
